date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:06	15612/15612	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Jan%202021%2000:05:18%20GMT	https://boldgains.com.ng/wp-includes/js/plupload/plupload.min.js?ver=2.1.9	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/plupload/plupload.min6c17.js	(from https://boldgains.com.ng/)
13:51:07	1232/1232	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jul%202021%2021:01:14%20GMT	https://boldgains.com.ng/wp-content/plugins/mailjet-for-wordpress/src/widget/js/front-widget.js?ver=5.8	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/mailjet-for-wordpress/src/widget/js/front-widget41a3.js	(from https://boldgains.com.ng/)
13:51:09	12239/12239	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2007%20Aug%202021%2016:01:56%20GMT	https://boldgains.com.ng/wp-content/plugins/mailin/js/mailin-front.js?ver=1628352116	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/mailin/js/mailin-front9f73.js	(from https://boldgains.com.ng/)
13:51:10	103559/103559	---MC-	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2012:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-197628074-1	/home/ace/websites/boldgains/www.googletagmanager.com/gtag/jsb12c	(from https://boldgains.com.ng/)
13:51:12	14864/14864	---MC-	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:51:11%20GMT	https://boldgains.com.ng/wp-json/wp/v2/pages/22	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/wp/v2/pages/22.json	(from https://boldgains.com.ng/)
13:51:15	176991/176991	---MC-	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:51:13%20GMT	https://boldgains.com.ng/wp-json/	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/index.html	(from https://boldgains.com.ng/)
13:51:15	810/810	---M--	200	added ('OK')	text/xml	date:Sun,%2029%20Aug%202021%2013:51:14%20GMT	https://boldgains.com.ng/xmlrpc.php?rsd	/home/ace/websites/boldgains/boldgains.com.ng/xmlrpc0db0.php	(from https://boldgains.com.ng/)
13:51:16	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2006:19:12%20GMT	https://boldgains.com.ng/wp-includes/wlwmanifest.xml	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/wlwmanifest.xml	(from https://boldgains.com.ng/)
13:51:17	2541/2541	---M--	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:51:17%20GMT	https://boldgains.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboldgains.com.ng%2F	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/oembed/1.0/embed2a5b.json	(from https://boldgains.com.ng/)
13:51:20	2650/2650	---M--	200	added ('OK')	text/xml	date:Sun,%2029%20Aug%202021%2013:51:20%20GMT	https://boldgains.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboldgains.com.ng%2F&format=xml	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/oembed/1.0/embed6268	(from https://boldgains.com.ng/)
13:51:20	100879/100879	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Aug%202021%2013:51:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	/home/ace/websites/boldgains/connect.facebook.net/en_US/fbevents.js	(from https://boldgains.com.ng/)
13:51:21	44/44	---M--	200	added ('OK')	image/gif	date:Fri,%2021%20Dec%202012%2000:00:01%20GMT	https://www.facebook.com/tr?id=625733835048018&ev=PageView&noscript=1	/home/ace/websites/boldgains/www.facebook.com/trd451.gif	(from https://boldgains.com.ng/)
13:51:23	142725/142725	---MC-	200	added ('OK')	text/javascript	date:Sun,%2029%20Aug%202021%2013:51:22%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-7645420353221335	/home/ace/websites/boldgains/pagead2.googlesyndication.com/pagead/js/f026f.txt	(from https://boldgains.com.ng/)
13:51:24	1055/1055	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202021%2013:42:20%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/cropped-cropped-boldgains-logo-32x32.jpg	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/cropped-cropped-boldgains-logo-32x32.jpg	(from https://boldgains.com.ng/)
13:51:26	5718/5718	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202021%2013:42:20%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/cropped-cropped-boldgains-logo-192x192.jpg	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/cropped-cropped-boldgains-logo-192x192.jpg	(from https://boldgains.com.ng/)
13:51:26	5274/5274	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202021%2013:42:20%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/cropped-cropped-boldgains-logo-180x180.jpg	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/cropped-cropped-boldgains-logo-180x180.jpg	(from https://boldgains.com.ng/)
13:51:27	358/358	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:51:27%20GMT	http://fonts.googleapis.com/css?family=Roboto:400,500&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/css2a77.css	(from https://boldgains.com.ng/)
13:51:28	696/696	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:51:28%20GMT	http://fonts.googleapis.com/css?family=Hind:500,300,400,600&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/css212c.css	(from https://boldgains.com.ng/)
13:51:29	840/840	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:51:29%20GMT	http://fonts.googleapis.com/css?family=Roboto+Mono:700,300,500,400&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/cssa12e.css	(from https://boldgains.com.ng/)
13:51:30	184/184	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:51:30%20GMT	http://fonts.googleapis.com/css?family=Pacifico:400,&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/css4399.css	(from https://boldgains.com.ng/)
13:51:31	1503/1503	---M-Z	200	added ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80-gzip%22	http://www.w3.org/2000/svg	/home/ace/websites/boldgains/www.w3.org/2000/svg.html	(from https://boldgains.com.ng/)
13:51:32	1942/1942	---M--	200	added ('OK')	image/png	date:Tue,%2011%20May%202021%2014:21:24%20GMT	http://boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-arrow.png	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-arrow.png	(from https://boldgains.com.ng/)
13:51:34	27464/27464	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20May%202021%2014:09:53%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/boldgains-return-on-investment-bonus.jpg	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/boldgains-return-on-investment-bonus.jpg	(from https://boldgains.com.ng/)
13:51:41	47557/47557	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2013:51:40%20GMT	https://boldgains.com.ng/boldgains-products/	/home/ace/websites/boldgains/boldgains.com.ng/boldgains-products/index.html	(from https://boldgains.com.ng/)
13:51:42	2023/2023	---M--	200	added ('OK')	image/png	date:Tue,%2011%20May%202021%2014:21:24%20GMT	http://boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-arrow-2.png	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-arrow-2.png	(from https://boldgains.com.ng/)
13:51:45	7580/7580	---M--	200	added ('OK')	image/png	date:Tue,%2011%20May%202021%2014:21:24%20GMT	http://boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-feature-2.png	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-feature-2.png	(from https://boldgains.com.ng/)
13:51:45	6351/6351	---M--	200	added ('OK')	image/png	date:Tue,%2011%20May%202021%2014:21:24%20GMT	http://boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-feature-3.png	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/tcb_lp_templates/templates/css/images/moon-feature-3.png	(from https://boldgains.com.ng/)
13:51:45	70176/70176	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2013:51:40%20GMT	https://boldgains.com.ng/boldgains-intro/	/home/ace/websites/boldgains/boldgains.com.ng/boldgains-intro/index.html	(from https://boldgains.com.ng/)
13:51:46	109253/109253	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2013:51:41%20GMT	https://boldgains.com.ng/boldgains-compensation-plan/	/home/ace/websites/boldgains/boldgains.com.ng/boldgains-compensation-plan/index.html	(from https://boldgains.com.ng/)
13:51:46	68777/68777	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2013:51:41%20GMT	https://boldgains.com.ng/contact-boldgains/	/home/ace/websites/boldgains/boldgains.com.ng/contact-boldgains/index.html	(from https://boldgains.com.ng/)
13:51:47	30979/30979	---M--	200	added ('OK')	image/png	date:Mon,%2017%20May%202021%2014:25:56%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/adanma.png	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/adanma.png	(from https://boldgains.com.ng/)
